t;T_surf;M_Europa;M_loss;R_Europa;Density
100.000000;255.250931;1.81314294E+19;0.00000000;133238.859;1830.00000
200.000000;256.776794;2.85973738E+19;0.00000000;155094.250;1830.00000
300.000000;257.992737;3.90633172E+19;0.00000000;172085.172;1830.00000
400.000000;259.017944;4.95292605E+19;0.00000000;186254.938;1830.00000
500.000000;259.876251;5.99952038E+19;0.00000000;198545.219;1830.00000
600.000000;260.639191;7.04611471E+19;0.00000000;209477.438;1830.00000
700.000000;261.354431;8.09270905E+19;0.00000000;219374.125;1830.00000
800.000000;261.974335;9.13930338E+19;0.00000000;228450.375;1830.00000
900.000000;262.522705;1.01858977E+20;0.00000000;236857.625;1830.00000
1000.00000;263.047211;1.12324920E+20;0.00000000;244707.000;1830.00000
1100.00000;263.524048;1.22790864E+20;0.00000000;252082.750;1830.00000
1200.00000;263.953217;1.33256807E+20;0.00000000;259050.438;1830.00000
1300.00000;264.382355;1.43722750E+20;0.00000000;265662.219;1830.00000
1400.00000;264.763824;1.54188685E+20;0.00000000;271960.312;1830.00000
1500.00000;265.121460;1.64654628E+20;0.00000000;277979.500;1830.00000
1600.00000;265.455261;1.75120572E+20;0.00000000;283748.719;1830.00000
1700.00000;265.777100;1.85586515E+20;0.00000000;289292.438;1830.00000
1800.00000;266.075134;1.96052458E+20;0.00000000;294631.469;1830.00000
1900.00000;266.361237;2.06518402E+20;0.00000000;299783.719;1830.00000
2000.00000;266.635437;2.16984345E+20;0.00000000;304764.719;1830.00000
2100.00000;266.885742;2.27450288E+20;0.00000000;309588.000;1830.00000
2200.00000;267.148010;2.37916231E+20;0.00000000;314265.531;1830.00000
2300.00000;267.374512;2.48382175E+20;0.00000000;318807.812;1830.00000
2400.00000;267.601013;2.58848118E+20;0.00000000;323224.219;1830.00000
2500.00000;267.815582;2.69314061E+20;0.00000000;327523.125;1830.00000
2600.00000;268.018250;2.79780005E+20;0.00000000;331712.062;1830.00000
2700.00000;268.220886;2.90245948E+20;0.00000000;335797.781;1830.00000
2800.00000;268.411621;3.00711891E+20;0.00000000;339786.438;1830.00000
2900.00000;268.590454;3.11177835E+20;0.00000000;343683.594;1830.00000
3000.00000;268.769257;3.21643778E+20;0.00000000;347494.312;1830.00000
3100.00000;268.936157;3.32109721E+20;0.00000000;351223.250;1830.00000
3200.00000;269.103058;3.42575665E+20;0.00000000;354874.656;1830.00000
3300.00000;269.258026;3.53041608E+20;0.00000000;358452.438;1830.00000
3400.00000;269.412994;3.63507551E+20;0.00000000;361960.188;1830.00000
3500.00000;269.556030;3.73973495E+20;0.00000000;365401.250;1830.00000
3600.00000;269.699097;3.84439438E+20;0.00000000;368778.688;1830.00000
3700.00000;269.842163;3.94905381E+20;0.00000000;372095.375;1830.00000
3800.00000;269.973267;4.05371325E+20;0.00000000;375353.969;1830.00000
3900.00000;270.104401;4.15837268E+20;0.00000000;378556.938;1830.00000
4000.00000;270.223633;4.26303211E+20;0.00000000;381706.625;1830.00000
4100.00000;270.342834;4.36769155E+20;0.00000000;384805.156;1830.00000
4200.00000;270.462036;4.47235098E+20;0.00000000;387854.594;1830.00000
4300.00000;270.581238;4.57701041E+20;0.00000000;390856.812;1830.00000
4400.00000;270.700439;4.68166985E+20;0.00000000;393813.625;1830.00000
4500.00000;270.807739;4.78632928E+20;0.00000000;396726.688;1830.00000
4600.00000;270.915039;4.89098871E+20;0.00000000;399597.594;1830.00000
4700.00000;271.010406;4.99564815E+20;0.00000000;402427.844;1830.00000
4800.00000;271.117676;5.10030758E+20;0.00000000;405218.812;1830.00000
4900.00000;271.213074;5.20496701E+20;0.00000000;407971.875;1830.00000
5000.00000;271.308411;5.30962644E+20;0.00000000;410688.281;1830.00000
5100.00000;271.403809;5.41428588E+20;0.00000000;413369.219;1830.00000
5200.00000;271.499146;5.51894531E+20;0.00000000;416015.812;1830.00000
5300.00000;271.582611;5.62360474E+20;0.00000000;418629.156;1830.00000
5400.00000;271.666046;5.72826418E+20;0.00000000;421210.281;1830.00000
5500.00000;271.761414;5.83292361E+20;0.00000000;423760.156;1830.00000
5600.00000;271.844849;5.93758304E+20;0.00000000;426279.719;1830.00000
5700.00000;271.916382;6.04224248E+20;0.00000000;428769.844;1830.00000
5800.00000;271.999817;6.14690191E+20;0.00000000;431231.406;1830.00000
5900.00000;272.083282;6.25156134E+20;0.00000000;433665.188;1830.00000
6000.00000;272.154816;6.35622078E+20;0.00000000;436071.938;1830.00000
6100.00000;272.226318;6.46088021E+20;0.00000000;438452.406;1830.00000
6200.00000;272.297852;6.56553964E+20;0.00000000;440807.312;1830.00000
6300.00000;272.369385;6.67019908E+20;0.00000000;443137.344;1830.00000
6400.00000;272.440918;6.77485851E+20;0.00000000;445443.125;1830.00000
6500.00000;272.512451;6.87951794E+20;0.00000000;447725.281;1830.00000
6600.00000;272.583954;6.98417738E+20;0.00000000;449984.406;1830.00000
6700.00000;272.643555;7.08883681E+20;0.00000000;452221.062;1830.00000
6800.00000;272.715088;7.19349624E+20;0.00000000;454435.812;1830.00000
6900.00000;272.774689;7.29815568E+20;0.00000000;456629.188;1830.00000
