H2O,CO2,NH3,HCO3-,H+,NH4+,CO32-,OH-,NH2COO-,CH4,Ar,Kr,Xe,pH
0.999993948588123,3.317043382316715e-08,0.005070221909657295,0.00018318954170658597,1.4814973099277074e-12,0.000540298474377302,9.94401552808431e-05,2.4925375279924606e-06,0.0001557360860625346,1.579306732698722e-05,5.9107974573769796e-08,3.018544576147304e-08,4.8548343568451784e-08,10.084937521136466
0.9999929895670604,4.415642426350338e-07,0.004051328380450053,0.0007204401128356758,5.163880681084878e-12,0.0015621262357259564,0.00016558948684413651,8.295249435106668e-07,0.0005096776294223775,6.320367925293956e-05,8.272473521382673e-08,9.966360345132745e-08,1.5809620722753811e-07,9.542661773160418
0.9999928964581165,5.210210896783322e-07,0.0038775753794225046,0.0008018892835331636,5.7370506805624435e-12,0.001704928068898486,0.00018441066665169335,7.60074076851823e-07,0.000533457383722135,7.041937336453928e-05,9.206977570634908e-08,1.0962036797658447e-07,1.716265637393905e-07,9.496949245017301
0.9999927025716343,7.543024695691405e-07,0.0035836797275167454,0.0009643329354194749,7.005200846174353e-12,0.001955907542179009,0.00019882076263009083,6.366863403936336e-07,0.0005932964021641598,8.40749299974975e-05,1.0772576034874452e-07,1.2753115270228926e-07,1.9850777112316651e-07,9.410217255767417
0.999992501539963,1.0620063479899454e-06,0.0033074045669765355,0.0011343107647218621,8.43110537179792e-12,0.002199535091752983,0.00020907673677151515,5.386639974594585e-07,0.0006465321979217362,9.789471732465152e-05,1.230916580344705e-07,1.4515748137650443e-07,2.2493888765065748e-07,9.329753242781223
0.9999923060345797,1.4544469420151706e-06,0.003048746900873062,0.0013073706257527135,1.0010328479306856e-11,0.002429583044279969,0.00021540203599877873,4.602405130449202e-07,0.000690948116026981,0.0001116194255521201,1.3792507717711893e-07,1.6225360411798135e-07,2.5060604816484834e-07,9.255189346344327
0.9999921126908831,1.9386222095485114e-06,0.0028118131846362956,0.0014812010267275118,1.1734869187125036e-11,0.0026462987637387797,0.00021904024093934317,3.9707715184865146e-07,0.0007266201897156021,0.00012500198630193245,1.5211307278675555e-07,1.7855457676975606e-07,2.7509593451673186e-07,9.186159338322375
0.9999919359683621,2.535810613699158e-06,0.0025840236249971846,0.0016565265064923797,1.3660132301057216e-11,0.002848820312021112,0.00022016844918422944,3.4430529734810214e-07,0.0007516126155230569,0.00013793292089100796,1.6564019572713185e-07,1.9405447175709413e-07,2.9833135548396614e-07,9.12018260870144
0.9999917481203862,3.255020175101137e-06,0.0023817822153392176,0.0018321851145790317,1.575261452969368e-11,0.003043286346789649,0.00021973034687689105,3.006859125141346e-07,0.0007713398682969359,0.0001506565681163042,1.787020689743257e-07,2.0910726329504894e-07,3.208168476000619e-07,9.058284786867235
0.9999915692578967,4.104690442777815e-06,0.0021950341693930194,0.0020057761522322406,1.80332844933006e-11,0.003224725559285512,0.00021784791119918866,2.641133191207242e-07,0.0007829894893690574,0.00016316119727120644,1.9123439182217467e-07,2.2343130771729782e-07,3.4220242475320513e-07,8.999562520855815
0.9999913766882146,5.11888198203065e-06,0.0020283617797905197,0.0021805822388864375,2.0522810188244326e-11,0.0034023675917792427,0.00021490410094637255,2.329821682040834e-07,0.0007917441893546665,0.00017525325358782955,2.0352620752919826e-07,2.3750477910408272e-07,3.6321584570940376e-07,8.94340044294839
0.99999120012201,6.316663260964999e-06,0.0018682544600731594,0.0023543914954435724,2.329507015800458e-11,0.0035680149190735356,0.00021072301812932856,2.0588628882189495e-07,0.0007919715243775543,0.0001872335906681535,2.152728419018672e-07,2.509173435026056e-07,3.83112057554903e-07,8.88837317196234
0.9999910085893894,7.734913064625803e-06,0.0017255866853802526,0.0025292730486268207,2.6324168421611255e-11,0.0037319673915394134,0.00020584582347235166,1.8251865923975376e-07,0.0007908202036328179,0.00019913286553262949,2.269360630198493e-07,2.642395157157266e-07,4.0294468092041535e-07,8.835282450789407
