H2O,CO2,NH3,HCO3-,H+,NH4+,CO32-,OH-,NH2COO-,CH4,Ar,Kr,Xe
0.9939139976526318,0.02433301431512729,0.31554411204189736,0.0,0.0,0.0,0.0,0.0,0.0,1.579178525215143e-05,5.910317188161268e-08,3.0231756391513846e-08,4.854440845975474e-08
0.9934672332494794,0.029093113690536982,0.335895476441317,0.0,0.0,0.0,0.0,0.0,0.0,1.9411130699606937e-05,7.611199764039458e-08,3.7681289334812505e-08,5.714025892736704e-08
0.993415692015139,0.032750600317894604,0.3351339429414547,0.0,0.0,0.0,0.0,0.0,0.0,2.2302883168789177e-05,9.250063707426743e-08,4.270741073477636e-08,6.415131711485482e-08
0.9935412051664053,0.035759564832577466,0.3250637090003636,0.0,0.0,0.0,0.0,0.0,0.0,2.4737136622683273e-05,1.088991889505147e-07,4.733445904960393e-08,7.113228530402235e-08
0.9938085949708415,0.038101683096307314,0.3076869243446363,0.0,0.0,0.0,0.0,0.0,0.0,2.7430893439042956e-05,1.250987960388724e-07,5.1684711142092966e-08,7.761841619439426e-08
0.9937975845900192,0.04023975086599555,0.30616507259064557,0.0,0.0,0.0,0.0,0.0,0.0,3.0003175968363847e-05,1.411551177200422e-07,5.587537274112312e-08,8.379715630028519e-08
0.9937306108521232,0.04304728727838121,0.3071193929233211,0.0,0.0,0.0,0.0,0.0,0.0,3.252997301425583e-05,1.572597785796257e-07,6.006767239128079e-08,8.994412806474543e-08
0.9936671581932217,0.045801115717756226,0.30793006983997134,0.0,0.0,0.0,0.0,0.0,0.0,3.4967306270592654e-05,1.7323752009117009e-07,6.376112530469284e-08,9.551394204827109e-08
0.9936101662321534,0.04832007426366799,0.30861290601661884,0.0,0.0,0.0,0.0,0.0,0.0,3.731853114858599e-05,1.8908865297448212e-07,6.742635544582014e-08,1.0058304465635947e-07
0.9935536275549276,0.05086806327019016,0.3092415838841187,0.0,0.0,0.0,0.0,0.0,0.0,3.9676029281676765e-05,2.0508740224712987e-07,7.122195330953115e-08,1.0589532510374516e-07
0.9935003203892911,0.053307089588614395,0.309797917747741,0.0,0.0,0.0,0.0,0.0,0.0,4.1971001319414435e-05,2.2100258474365833e-07,7.461285268714441e-08,1.1129593049959319e-07
0.9934486600969731,0.055724903254858085,0.31028321852668034,0.0,0.0,0.0,0.0,0.0,0.0,4.420907334931918e-05,2.36835807936472e-07,7.80564228274532e-08,1.1589174620894234e-07
0.9934005879615964,0.05799535950646741,0.3107144058942497,0.0,0.0,0.0,0.0,0.0,0.0,4.639140229526853e-05,2.5258599862324483e-07,8.134957865692217e-08,1.2066155951265223e-07
0.9933543363975226,0.06020209369531678,0.31110721146889314,0.0,0.0,0.0,0.0,0.0,0.0,4.852537699736798e-05,2.682549526101787e-07,8.450218619458428e-08,1.2561939037373684e-07
