H2O,CO2,NH3,CH4,Ar,Kr,Xe
580.8342615975146,2.4456028227223294,125.20526428298615,844.0,2.5,0.6189999979687855,0.4900000002235174
585.2991051132109,32.680972353419214,100.65035623885264,2776.62,3.502000047592446,2.0519999696407467,1.608999975840561
665.4119210963642,41.10815421361367,106.58510603130063,3230.0876,4.073000074713491,2.3869999666931108,1.870999970822595
702.1937776650086,61.121449643999554,102.77527245799182,3847.485848,4.8520001117140055,2.842999961809255,2.228999963379465
726.764399304482,87.52902904149101,97.45960606890503,4446.03613104,5.607000147574581,3.284999958355911,2.5749999567633495
742.1478923811658,121.11755986357662,91.33396103539357,5015.6154084192,6.325000181677751,3.7059999560005963,2.903999950736761
753.5155281727153,162.6495262334068,85.25183744196124,5557.803100250816,7.009000214166008,4.105999954743311,3.2169999446487054
763.587672034986,214.14749597927295,79.17021355059978,6076.647038245799,7.6640002452768385,4.4889999547740445,3.5169999393401667
770.8588105463525,276.16786374725575,73.52140520311325,6575.114097480883,8.292000275105238,4.85799995623529,3.8049999341601506
778.1879664105551,349.8797256756866,68.26445318324296,7063.611815531265,8.899000303936191,5.212999958428554,4.082999929203652
782.6211131321486,437.5476049581039,63.36435872980556,7522.33957922064,9.486000331817195,5.555999961448833,4.3509999251691625
788.5612187806358,541.9383916138373,58.71190703513998,7981.892787636228,10.056000358890742,5.889999965438619,4.611999920802191
791.5548218095525,664.8533113547658,54.390817606642905,8422.254931883503,10.611000385251828,6.2139999703504145,4.864999916753732
796.0579215067826,811.2694155006129,50.25628096612473,8843.809833245832,11.151000410900451,6.529999976279214,5.11199991311878
799.07891958029,983.1943516570459,46.3973120651987,9266.933636580916,11.679000435979106,6.838999983272515,5.353999909944832
802.1145439020495,1186.852771756671,42.737097661517346,9671.594963849297,12.19500046048779,7.140999990631826,5.589999907184392
805.1634905040703,1428.1449145488377,39.2672657536782,10078.16306457231,12.7010004845215,7.436999999103136,5.819999904138967
806.7072301069828,1713.1849193360806,36.015263434906686,10476.599803280864,13.19600050803274,7.726000007940456,6.046999901649542
809.7765459761927,2052.593268559321,32.902944673180485,10867.067807215246,13.683000531163998,8.011000017286278,6.26899989892263
811.3514544856394,2594.836942624728,28.603985975533703,11249.726451070941,14.16100055386778,8.2900000277441,6.486999896704219
812.9246868959636,3094.7297527674646,26.011657632374117,11624.731922049523,14.631000576191582,8.565000038710423,6.700999894994311
815.2751024254802,3692.978070814828,23.54054913633755,11992.237283608532,15.093000598135404,8.83500005013775,6.91199989314191
816.8743428696711,4407.610876435887,21.223994712723663,12352.39253793636,15.549000619794242,9.102000062121078,7.1199998911470175
818.4901291425945,5275.0111813744315,19.021347739216427,12705.344687177634,15.998000641120598,9.36400007456541,7.324999889708124
820.125214278196,6323.069960440158,16.95430533441473,13051.237793434082,16.44000066211447,9.62300008686725,7.526999888126738
821.008886581558,7574.851380910064,15.058870252923686,13390.2130375654,16.877000682870857,9.8780000989791,7.725999887101352
822.6917663809055,9116.7180878475,13.26130470778767,13722.40877681409,17.30800070334226,10.130000110948458,7.921999885933474
824.4121974280755,11015.527409074226,11.587077706141466,14097.96060127781,17.734000723576173,10.379000122775324,8.1159998846706
825.3959957074086,13291.776540505714,10.090454420821192,14416.001389252253,18.1550007435726,10.625000134459697,8.307999884011224
826.427652711267,16076.348842286861,8.726462970908893,14727.681361467208,18.570000763284042,10.868000146001577,8.496999883209355
828.2883704438605,19418.49724232191,7.509121498918825,15083.127734237863,18.982000782852992,11.108000157400966,8.684999882359989
829.4337314891775,23396.037167921564,6.447861783691608,15381.465179553106,19.388000802136958,11.345000168657862,8.869999882066622
830.642076754598,28035.79318795505,5.535068629255351,15723.835875962044,19.79100082127843,11.580000179819763,9.05299988167826
831.9134597321648,33336.210097250725,4.762165210117057,16009.359158442803,20.189000840182416,11.813000190886669,9.233999881194904
833.2448602203552,39259.900480363576,4.115568943983218,16339.171975273946,20.58400085894391,12.043000201811083,9.413999881362543
834.636670033934,45808.69464848802,3.5740181625684224,16662.388535768467,20.974000877467915,12.272000212687999,9.591999881435186
836.0691405306998,52766.24468565719,3.1312781044079365,16979.140765053096,21.36100089584943,12.498000223422423,9.767999881412834
837.5407224154723,60114.654805594255,2.7647988887517645,17239.557949752034,21.74500091408845,12.722000234061852,9.94199988199398
839.0502928706189,67858.17244631657,2.457255400426279,17544.766790756992,22.125000932137482,12.944000244606286,10.114999882527627
840.1115145613206,70808.0032153619,2.41514013521104,17843.87145494185,22.625000932137482,13.164000255055726,10.28599988296628
841.2915405680479,79162.45518087204,2.1580320535079704,18136.994025843014,23.125000932137482,13.38200026541017,10.455999883357435
842.4810267230885,87595.58878720472,1.9451619730386613,18424.254145326155,23.625000932137482,13.59800027566962,10.624999884399585
844.0842873596581,96207.90848326514,1.7631349561127998,18755.769062419633,23.625000932137482,13.813000285881571,10.79199988534674
845.7075506269415,104997.03576402337,1.6066752141006895,19030.65368117124,24.125000932137482,14.026000295998529,10.9569998861989
846.9289890044874,113689.58484579407,1.4754657885980786,19300.040607547813,24.625000932137482,14.23700030602049,11.12199988705106
848.1560645727062,122418.40439047125,1.3616804639086764,19614.039795396857,25.125000932137482,14.446000315947458,11.284999888506718
849.2434566470473,125503.04724501622,1.35686167923718,19871.75899948892,25.125000932137482,14.655000325874425,11.446999889914878
850.5151936033151,134659.07363463496,1.2531390445840982,20174.323819499143,25.625000932137482,14.8610003356589,11.60799989127554
851.7874480319801,143795.66666653697,1.1626132123186774,20420.83734310916,26.125000932137482,15.066000345395878,11.766999892541207
