H2O,CO2,NH3,HCO3-,H+,NH4+,CO32-,OH-,NH2COO-,CH4,Ar,Kr,Xe,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0.995496726875418,0.0006154971243872569,0.0038867002559143634,0.0,0.0,0.0,0.0,0.0,0.0,1.0711752720127185e-06,3.2674808818500016e-09,5.778840980422811e-10,7.236434653401786e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9955356418965187,0.0006286692164508076,0.003834568523586069,0.0,0.0,0.0,0.0,0.0,0.0,1.1156436500822703e-06,3.407589914677377e-09,5.84999141256125e-10,7.272052148200668e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9955719996696463,0.0006404771799365638,0.003786361428102677,0.0,0.0,0.0,0.0,0.0,0.0,1.15685744776769e-06,3.542686214700198e-09,5.915930709036708e-10,7.305862078141673e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9956169576358784,0.0006532494101301072,0.0037285880597549143,0.0,0.0,0.0,0.0,0.0,0.0,1.1998799961396455e-06,3.681884185584288e-09,5.988324991082181e-10,7.335238222425332e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.995643966778078,0.0006657693132125365,0.0036890164714288094,0.0,0.0,0.0,0.0,0.0,0.0,1.2422714397113603e-06,3.820718166704658e-09,6.057621240307861e-10,7.393665136230285e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9956900177497986,0.0006781346676507059,0.0036305583685456943,0.0,0.0,0.0,0.0,0.0,0.0,1.283898269256649e-06,3.959186387188462e-09,6.131958757200291e-10,7.433581351466653e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9957165762343617,0.0006902542962671655,0.003591838926630203,0.0,0.0,0.0,0.0,0.0,0.0,1.3250780038057716e-06,4.09729275999499e-09,6.203583004463306e-10,7.470828245428594e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.995743694040244,0.0007021613708695045,0.003552773309705981,0.0,0.0,0.0,0.0,0.0,0.0,1.3656639405702208e-06,4.235041837180297e-09,6.28060248455234e-10,7.521472728490299e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9957879377419662,0.0007139452512903807,0.0034967055438433034,0.0,0.0,0.0,0.0,0.0,0.0,1.4057304252441556e-06,4.339994719524758e-09,6.35524738927653e-10,7.569854722760196e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.995811640545022,0.0007254459582169881,0.0034614623173695306,0.0,0.0,0.0,0.0,0.0,0.0,1.4453460357361385e-06,4.42899414343592e-09,6.42757934422489e-10,7.616028245888331e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
